Governor / Lt. Governor                                             |-  |Allegany County                                   |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                           7831|\N
Governor / Lt. Governor                                             |-  |Allegany County                                   |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                          14416|\N
Governor / Lt. Governor                                             |-  |Allegany County                                   |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                            192|\N
Governor / Lt. Governor                                             |-  |Allegany County                                   |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              0|\N
Governor / Lt. Governor                                             |-  |Allegany County                                   |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              0|\N
Governor / Lt. Governor                                             |-  |Allegany County                                   |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              9|\N
Governor / Lt. Governor                                             |-  |Anne Arundel County                               |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                          60753|\N
Governor / Lt. Governor                                             |-  |Anne Arundel County                               |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                         113968|\N
Governor / Lt. Governor                                             |-  |Anne Arundel County                               |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                           1284|\N
Governor / Lt. Governor                                             |-  |Anne Arundel County                               |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                             16|\N
Governor / Lt. Governor                                             |-  |Anne Arundel County                               |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              3|\N
Governor / Lt. Governor                                             |-  |Anne Arundel County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            155|\N
Governor / Lt. Governor                                             |-  |Baltimore City                                    |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                         120070|\N
Governor / Lt. Governor                                             |-  |Baltimore City                                    |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                          38838|\N
Governor / Lt. Governor                                             |-  |Baltimore City                                    |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                           1020|\N
Governor / Lt. Governor                                             |-  |Baltimore City                                    |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                             52|\N
Governor / Lt. Governor                                             |-  |Baltimore City                                    |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              5|\N
Governor / Lt. Governor                                             |-  |Baltimore City                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            121|\N
Governor / Lt. Governor                                             |-  |Baltimore County                                  |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                         106195|\N
Governor / Lt. Governor                                             |-  |Baltimore County                                  |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                         170920|\N
Governor / Lt. Governor                                             |-  |Baltimore County                                  |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                           1972|\N
Governor / Lt. Governor                                             |-  |Baltimore County                                  |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                             37|\N
Governor / Lt. Governor                                             |-  |Baltimore County                                  |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                             25|\N
Governor / Lt. Governor                                             |-  |Baltimore County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            238|\N
Governor / Lt. Governor                                             |-  |Calvert County                                    |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                           9854|\N
Governor / Lt. Governor                                             |-  |Calvert County                                    |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                          16193|\N
Governor / Lt. Governor                                             |-  |Calvert County                                    |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                            192|\N
Governor / Lt. Governor                                             |-  |Calvert County                                    |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              4|\N
Governor / Lt. Governor                                             |-  |Calvert County                                    |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              0|\N
Governor / Lt. Governor                                             |-  |Calvert County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             12|\N
Governor / Lt. Governor                                             |-  |Caroline County                                   |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                           2069|\N
Governor / Lt. Governor                                             |-  |Caroline County                                   |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                           6286|\N
Governor / Lt. Governor                                             |-  |Caroline County                                   |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                             55|\N
Governor / Lt. Governor                                             |-  |Caroline County                                   |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              0|\N
Governor / Lt. Governor                                             |-  |Caroline County                                   |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              0|\N
Governor / Lt. Governor                                             |-  |Caroline County                                   |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              8|\N
Governor / Lt. Governor                                             |-  |Carroll County                                    |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                          12107|\N
Governor / Lt. Governor                                             |-  |Carroll County                                    |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                          47328|\N
Governor / Lt. Governor                                             |-  |Carroll County                                    |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                            456|\N
